Dosya_Adi,Boyut_Bayt,Sifir_Orani,Ortalama_Entropi,Toplam_API,Supheli_API,Etiket
ember_5b813db9fee9.exe,478120,17.36,4.394,125,2,0
ember_cae8512fc823.exe,10752,62.51,2.051,0,0,0
ember_9da3f1062774.exe,141828,24.98,4.57,177,1,0
ember_bb9219c2285e.exe,301568,31.63,3.186,1,0,0
ember_d16ae9cb94e5.exe,22357904,11.02,5.1,647,2,0
ember_4ea802312e61.exe,83776,27.24,4.614,146,0,0
ember_ddad3b90c8ff.exe,136192,21.37,3.766,237,0,0
ember_b968da45602c.exe,12288,17.77,1.295,0,0,0
ember_ab2c77c44b48.exe,5032099,1.63,5.028,134,1,0
ember_5ddd2e466eee.exe,96256,20.49,3.901,167,1,0
ember_7cdabd88a0a9.exe,29696,23.33,1.122,0,0,0
ember_73f218131177.exe,893128,19.64,4.853,180,1,0
ember_cf2402bea49a.exe,11480803,16.9,4.185,658,3,0
ember_c8f82af9b5bc.exe,16896,48.75,2.607,43,1,0
ember_77610b014929.exe,28677,12.32,1.289,0,0,0
ember_ff8a042fa164.exe,96233,25.38,4.786,118,1,0
ember_dd2b5928747a.exe,2479104,1.28,4.669,1,0,0
ember_cf9396501688.exe,5001140,1.53,5.398,126,2,0
ember_1537643fa115.exe,10485414,0.56,5.204,158,0,0
ember_0e8b1c7d2f6c.exe,45056,65.76,4.132,69,0,0
ember_ee0d6eb6fcf8.exe,3649536,10.84,5.359,1,0,0
ember_7304f05a5cb1.exe,1462272,40.53,4.464,0,0,0
ember_45085a149f11.exe,35848,21.26,3.625,1,0,0
ember_e4cba4e6ec9c.exe,10485323,0.64,5.737,164,0,0
ember_0519eae24101.exe,1896448,0.62,5.858,98,0,0
ember_88ba79692d81.exe,807507,14.19,1.097,0,0,0
ember_e7d577769151.exe,120320,5.46,7.421,3,0,0
ember_d6135c38944a.exe,26416,12.49,4.081,0,0,0
ember_7fc9aa476ffe.exe,183027,38.97,4.142,120,2,0
ember_e83f63833b3d.exe,5003079,0.69,5.183,151,0,0
ember_e07a799a1646.exe,51112,40.45,3.568,1,0,0
ember_d3aa8d903148.exe,4224,18.77,6.153,0,0,0
ember_f1aa913bb490.exe,899584,18.09,4.352,1,0,0
ember_15e6d286ee69.exe,5000514,6.33,4.799,303,2,0
ember_21858dbd7186.exe,685576,11.35,3.973,284,0,0
ember_df7a15c7c97f.exe,8821907,18.35,4.326,382,1,0
ember_fc3eeafd8e39.exe,204224,20.39,4.55,83,1,0
ember_2d3d726433f9.exe,815745,14.05,1.1,0,0,0
ember_ef04c77dab2e.exe,826510,13.86,1.103,0,0,0
ember_457e3e0f1822.exe,7680,46.63,4.828,34,1,0
ember_ac9ea909e0c1.exe,1219584,18.19,3.606,1,0,0
ember_72bd2f9ba52d.exe,11776,34.26,3.255,1,0,0
ember_f3a5f43aa8a9.exe,10481060,0.92,4.42,250,2,0
ember_3218d0025164.exe,5001972,0.67,5.286,204,1,0
ember_7498a48b59fc.exe,17408,52.57,3.916,0,0,0
ember_66287059136c.exe,5002054,23.77,5.625,256,1,0
ember_34242758365f.exe,249344,2.62,4.959,1,0,0
ember_f644b1c75ce7.exe,229376,13.48,1.272,0,0,0
ember_59f42479c9a9.exe,11264,32.87,3.501,1,0,0
ember_8bc536b7258c.exe,117434,15.78,1.621,0,0,0
ember_3f9c90293250.exe,2059745,8.79,3.925,128,0,0
ember_100c9f0927cd.exe,146432,50.4,3.469,0,0,0
ember_a20399af5006.exe,119808,24.33,3.617,1,0,0
ember_127dacb64b42.exe,2668820,19.0,4.233,111,0,0
ember_dfaf23bf9f16.exe,107520,25.44,3.62,1,0,0
ember_47be0d81d2d2.exe,46958,32.58,3.192,17,0,0
ember_cb71eedf2413.exe,11666644,0.5,4.423,8,0,0
ember_91b28cc1548a.exe,5003392,0.64,5.473,154,0,0
ember_54cc771367eb.exe,4001104,1.27,4.424,135,2,0
ember_5b9b09f7f485.exe,621620,18.63,3.955,367,1,0
ember_7436ab098fb6.exe,1939780,3.48,6.912,22,0,0
ember_8ca41b1c1a9d.exe,143360,6.54,3.852,1,0,0
ember_84e7dab37127.exe,250760,15.57,4.547,188,1,0
ember_527b950aa16f.exe,5002659,0.71,4.677,8,0,0
ember_de28483631a2.exe,2025472,29.86,4.59,1,0,0
ember_85ca907a7021.exe,621620,18.63,3.955,367,1,0
ember_479c1b454aa0.exe,712704,22.42,3.943,1,0,0
ember_e58c9583e785.exe,1627968,18.27,4.99,570,2,0
ember_2d8c8979d250.exe,376832,9.95,5.41,176,2,0
ember_99968291fab6.exe,4096,25.39,1.573,0,0,0
ember_87cd69ef4aba.exe,6629121,0.98,3.83,129,1,0
ember_2fb26ea49ed3.exe,108544,20.0,3.38,206,1,0
ember_077395356bfb.exe,8192,43.65,3.297,1,0,0
ember_71b98be452fb.exe,13824,42.57,3.878,42,0,0
ember_4f2bf071253d.exe,1814528,23.11,4.169,153,0,0
ember_7612c044c01e.exe,319944,11.29,4.291,80,1,0
ember_cd1185db64e2.exe,65544,19.11,4.103,104,1,0
ember_0f49b74af04c.exe,380416,26.18,5.433,1,0,0
ember_b0833cf051e4.exe,151552,1.39,3.962,0,0,0
ember_b812831d12f6.exe,445952,38.66,4.219,88,0,0
ember_8c536189f805.exe,355344,14.02,4.278,223,1,0
ember_58cacbe0b4ef.exe,82239,21.57,4.776,162,1,0
ember_02bbd4ed7202.exe,5822376,5.61,3.947,272,5,0
ember_5666d9da3f0e.exe,1130840,4.11,5.376,98,1,0
ember_7b314372f029.exe,50480,16.45,4.759,101,0,0
ember_3cc28aa0e717.exe,962560,9.3,5.724,13,0,0
ember_5f626c254d88.exe,5000864,0.61,4.602,167,0,0
ember_35c6501ac420.exe,28672,58.82,3.662,1,0,0
ember_65a34e76f79d.exe,804026,14.25,1.096,0,0,0
ember_050f3deb78bd.exe,5001929,0.85,5.303,146,0,0
ember_ed7007c96828.exe,14848,33.3,3.541,1,0,0
ember_b5b3a8cfecd8.exe,36864,10.72,1.315,0,0,0
ember_603caaf103e4.exe,3072,62.34,3.12,1,0,0
ember_7ee1ab3b3b5c.exe,14336,34.91,3.088,0,0,0
ember_127cfebc4021.exe,3040256,1.6,5.9,10,0,0
ember_3fb319ba698b.exe,707688,3.47,4.824,1,0,0
ember_05618ff0e999.exe,156745,37.99,3.502,70,0,0
ember_ddab9b00803e.exe,62464,25.04,3.732,1,0,0
ember_c8d1f07111ef.exe,139264,18.53,4.455,166,1,0
ember_cea4645a42a6.exe,4096,55.25,3.96,0,0,0
ember_c05c7aef163d.exe,637992,9.46,5.513,195,1,0
ember_cb948c0a59e2.exe,83768,38.35,4.317,0,0,0
ember_bc21831358c1.exe,2220656,19.17,1.741,359,3,0
ember_409a5110d442.exe,2584576,19.29,4.929,371,1,0
ember_422d4f6ecf75.exe,801089,14.3,1.095,0,0,0
ember_de6e825ed46d.exe,205824,24.1,3.681,1,0,0
ember_343440682620.exe,802325,14.28,1.096,0,0,0
ember_53beb8135c81.exe,2474993,1.57,6.975,22,1,0
ember_ba519e618105.exe,154624,38.92,2.497,83,1,0
ember_1cf1ef5b701a.exe,4096,93.53,0.0,0,0,0
ember_3dfd28793194.exe,956416,18.76,4.646,304,1,0
ember_5bb8a5cb60eb.exe,783843,12.01,1.285,0,0,0
ember_922a1901abcc.exe,10495936,20.99,5.425,658,5,0
ember_0658bb706666.exe,12288,37.65,3.759,1,0,0
ember_a4d6355a2621.exe,2741075,28.08,3.098,350,3,0
ember_3f58ebd27197.exe,43520,21.44,5.086,80,1,0
ember_abf30e92d578.exe,8192,44.89,3.73,1,0,0
ember_d67868fd4ad0.exe,18944,31.99,3.207,1,0,0
ember_f2a6245e7ea6.exe,236032,1.19,6.917,26,0,0
ember_18dfe89abe4c.exe,1774592,21.65,4.053,1,0,0
ember_66560f6b9ac6.exe,2306048,94.6,4.387,243,1,0
ember_6997383081b9.exe,32768,57.15,3.98,61,1,0
ember_b46e20444c88.exe,409600,17.98,4.452,1,0,0
ember_7c14b55d6d70.exe,539317,13.57,1.633,0,0,0
ember_be6851f49193.exe,637992,9.46,5.513,195,1,0
ember_2e79e309b0bc.exe,270336,23.03,4.993,86,0,0
ember_be1fbe3fd10c.exe,5003468,1.01,3.811,130,1,0
ember_8336c4bb00d3.exe,597504,7.33,4.634,1,0,0
ember_99f2ea1ca0fd.exe,138220,13.13,1.713,0,0,0
ember_1eb4ad90d796.exe,411136,21.85,4.123,697,0,0
ember_46bba8ae06cd.exe,292224,12.73,5.936,117,1,0
ember_31601ba07952.exe,616960,26.24,3.669,1,0,0
ember_db206fe50b0d.exe,1756160,27.71,5.618,401,1,0
ember_9676850bd12a.exe,81744,23.83,3.479,1,0,0
ember_3bb0cecdb009.exe,5000557,0.86,4.467,115,1,0
ember_29418aed0c52.exe,595749,0.97,2.646,0,0,0
ember_98db37d21e0f.exe,1220207,2.74,4.644,12,0,0
ember_f9bf494afb75.exe,24576,85.57,3.558,16,0,0
ember_3851132cec72.exe,7680,39.23,3.76,1,0,0
ember_1d955f7aa41f.exe,22528,15.18,3.846,1,0,0
ember_5f6766c6440f.exe,801996,14.29,1.096,0,0,0
ember_5330b7354f17.exe,1114624,18.83,4.444,423,3,0
ember_f70decb6656d.exe,452096,11.4,4.917,1,0,0
ember_5b9e34a35138.exe,61952,24.68,3.727,1,0,0
ember_ca9613754be3.exe,21504,35.18,4.093,68,1,0
ember_ba8e89fed59e.exe,3679840,17.41,4.331,940,2,0
ember_2d66f1a5158c.exe,1532928,31.11,3.902,1,0,0
ember_32658680b4ba.exe,62211,22.9,3.868,138,0,0
ember_15724c621907.exe,1010688,1.52,5.278,7,0,0
ember_a9de9b88dee6.exe,2522573,11.61,4.223,412,5,0
ember_cc1bbef59f76.exe,757760,27.75,4.029,1,0,0
ember_b384686e2b47.exe,23048,17.74,3.82,39,0,0
ember_63f39a325ca3.exe,10481664,0.71,4.279,122,2,0
ember_4ed7670a5490.exe,811536,12.94,4.791,80,1,0
ember_933f215aab5b.exe,7623368,10.12,5.336,532,2,0
ember_77146dcedcf3.exe,69968,17.23,5.213,389,1,0
ember_ef96ec8db5fb.exe,84480,27.56,3.581,1,0,0
ember_6baa45b2aafc.exe,235880,7.54,4.025,167,0,0
ember_d15fdb13782a.exe,167936,22.04,4.047,195,0,0
ember_88ba0b1a7a00.exe,2263040,14.97,3.955,1,0,0
ember_0e8b4d9fe393.exe,1400520,30.23,4.518,189,1,0
ember_ccb9a10116a6.exe,15997,28.84,1.777,0,0,0
ember_417b21d01291.exe,232095,27.76,4.277,144,1,0
ember_f83ddbd78a74.exe,238080,17.84,5.491,149,1,0
ember_b7fd0fa0ef59.exe,10483999,21.13,1.248,0,0,0
ember_22599119472f.exe,10485760,0.81,4.346,122,2,0
ember_62e04b0e61d2.exe,192512,5.05,4.572,1,0,0
ember_bab48cb7cc21.exe,105776,38.65,3.482,1,0,0
ember_fbd2b343f2d8.exe,66560,50.95,3.786,0,0,0
ember_15e54acc6c1f.exe,754688,1.17,4.73,1,0,0
ember_570c8c32237e.exe,865672,15.34,5.602,131,1,0
ember_fbbcf9f6274b.exe,808279,14.17,1.097,0,0,0
ember_a0d952ec24dc.exe,33280,31.83,3.358,1,0,0
ember_b3fdd629075c.exe,410280,17.52,5.186,95,1,0
ember_41ef5c8807e9.exe,93184,15.11,4.359,1,0,0
ember_763973410609.exe,5120,29.08,4.092,0,0,0
ember_9a31e64d6c26.exe,1444159,16.77,4.799,210,2,0
ember_2056dbefca7f.exe,21004,22.99,5.34,26,1,0
ember_c997e4e96228.exe,1507328,0.82,3.541,0,0,0
ember_9afd5a965662.exe,196296,53.03,2.668,0,0,0
ember_d59198429f52.exe,195072,19.89,4.46,552,1,0
ember_57adbac5159e.exe,12800,23.12,5.592,7,0,0
ember_91a02d6597c8.exe,729088,84.86,0.555,0,0,0
ember_72f902336d57.exe,47664,17.56,3.633,1,0,0
ember_cdc9ebb820a8.exe,82912,19.42,3.188,0,0,0
ember_62666394485b.exe,43520,14.19,4.405,1,0,0
ember_6032c8900c1a.exe,637992,9.46,5.513,195,1,0
ember_02e8651665b4.exe,4898816,1.07,4.717,101,1,0
ember_f72a5b9df10d.exe,5001945,0.72,3.536,122,0,0
ember_fed1424e942f.exe,25088,32.93,3.499,1,0,0
ember_c6ea4755b214.exe,9728,33.33,4.086,0,0,0
ember_1561b323137b.exe,1048576,1.28,3.757,0,0,0
ember_95068d5a8835.exe,5000954,2.61,4.549,167,0,0
ember_19627391a79a.exe,6448,18.94,4.07,0,0,0
ember_14a253f1010d.exe,126976,25.33,4.55,205,2,0
ember_50d73f922a40.exe,157696,5.26,6.177,7,0,0
ember_0ae552c1a096.exe,242176,24.75,4.432,268,2,0
ember_a50f78bf2fc3.exe,49050,4.81,5.747,3,0,0
ember_9f4d845d274c.exe,523568,13.09,5.578,81,1,0
ember_44be3787b2a7.exe,92952,20.17,4.328,135,1,0
ember_1de27550bbed.exe,552960,10.13,4.349,59,1,0
ember_d35a40b21100.exe,284672,25.84,4.355,183,0,0
ember_b8632e2f783e.exe,488960,2.4,2.599,1,0,0
ember_9ddbba2106c1.exe,5632,51.08,3.442,1,0,0
ember_542cb9096513.exe,185968,31.48,5.037,215,1,0
ember_65196d8cb5b4.exe,142336,32.48,3.927,81,2,0
ember_25bd375454b9.exe,803998,14.25,1.096,0,0,0
ember_61d89b7159c3.exe,263984,16.2,4.41,109,1,0
ember_8daf02e64deb.exe,329728,20.59,4.633,223,1,0
ember_2f2d376f7f3f.exe,69632,43.85,4.06,80,0,0
ember_5becc780dbe1.exe,10481930,0.46,7.647,2,0,0
ember_ec09ac96dd8c.exe,5002076,5.11,4.7,357,2,0
ember_7da24037ec73.exe,463672,13.64,4.375,203,2,0
ember_d1ae092df458.exe,1483776,17.53,4.142,325,1,0
ember_b12d9d3dee50.exe,186368,11.55,7.289,0,0,0
ember_a44f9ca50793.exe,200704,30.09,4.475,273,1,0
ember_da3b8182bb31.exe,75264,24.83,3.919,110,2,0
ember_a31811f75610.exe,400896,22.35,3.794,1,0,0
ember_923e5f70d71b.exe,10484586,0.5,5.593,154,0,0
ember_57e4c8f7f6a5.exe,816131,14.04,1.1,0,0,0
ember_65e2ae5e7e2c.exe,1160704,17.87,3.7,168,2,0
ember_c3a8209880d7.exe,822784,17.54,5.125,460,1,0
