Dosya_Adi,Boyut_Bayt,Sifir_Orani,Ortalama_Entropi,Toplam_API,Supheli_API,Etiket
ember_ddc03ee9a2bb.exe,139264,20.26,5.557,54,0,1
ember_f23e3ced94e3.exe,155648,18.89,6.131,104,0,1
ember_e949b1babfd3.exe,199168,1.43,5.127,15,1,1
ember_45816bef8c9d.exe,123392,1.05,7.725,0,0,1
ember_d439df82d2cb.exe,476779,2.0,2.28,60,1,1
ember_aa23807fcf64.exe,246173,3.76,5.634,91,1,1
ember_e160f69e3ed5.exe,965414,5.67,4.053,2,0,1
ember_042fdebb8c9c.exe,1053696,10.93,5.709,81,1,1
ember_3b62e9c1b5d5.exe,321540,29.24,4.606,1,0,1
ember_943274ff8433.exe,374272,18.4,4.701,15,1,1
ember_1d1cbfbff2b3.exe,968124,5.65,4.053,2,0,1
ember_a32c1fb1972b.exe,968064,5.65,4.053,2,0,1
ember_2f3f3f07f8cc.exe,462848,28.26,4.526,124,0,1
ember_1af5bd152254.exe,965274,5.67,4.053,2,0,1
ember_e1744dd7faba.exe,965864,5.67,4.053,2,0,1
ember_02b1cb8cde59.exe,968074,5.65,4.053,2,0,1
ember_717111429763.exe,225056,8.04,2.84,39,1,1
ember_0257fadd6cd9.exe,696320,21.24,5.335,374,1,1
ember_3d759f4ad7ed.exe,3584,74.33,3.276,8,0,1
ember_abaf5aae5744.exe,966734,5.66,4.053,2,0,1
ember_6d5ab884b9a9.exe,200720,9.76,4.118,11,0,1
ember_a7f123af0208.exe,5632,49.29,3.978,17,4,1
ember_27abc1785814.exe,99328,18.33,7.988,3,0,1
ember_7badd04cc8aa.exe,965984,5.67,4.053,2,0,1
ember_9ee86598cb90.exe,10636,54.88,4.537,25,0,1
ember_58443a60ecb0.exe,438272,12.93,4.457,54,0,1
ember_57b896031d1e.exe,139264,20.26,5.557,54,0,1
ember_f3824cc28de2.exe,131200,20.92,6.117,25,0,1
ember_785e23a0854f.exe,88576,2.59,4.878,1,0,1
ember_d19993be5b01.exe,963224,5.68,4.053,2,0,1
ember_a58411d01b5e.exe,970584,5.64,4.053,2,0,1
ember_d87f26de6c39.exe,965664,5.67,4.053,2,0,1
ember_48d180d14c4e.exe,215381,1.52,6.5,1,0,1
ember_81511098bc6f.exe,969044,5.65,4.053,2,0,1
ember_dd8d4289f0be.exe,514664,24.32,5.387,333,2,1
ember_7e5d0442361c.exe,1986436,0.75,5.627,5,0,1
ember_b06a05192f73.exe,888868,14.82,4.47,467,4,1
ember_43d5e37faddb.exe,965074,5.67,4.053,2,0,1
ember_400949f0492c.exe,139264,20.26,5.557,54,0,1
ember_69ebcaaad00f.exe,139264,20.26,5.557,54,0,1
ember_856022c48369.exe,2738620,1.89,2.99,90,0,1
ember_ac05a790408b.exe,964974,5.67,4.053,2,0,1
ember_5cae2b22b725.exe,79360,74.22,1.43,7,1,1
ember_3ca8d306d269.exe,964244,5.68,4.053,2,0,1
ember_ec76060e5424.exe,111656,7.28,4.916,9,0,1
ember_f6ccce2fed84.exe,3584,64.76,3.08,1,0,1
ember_4aa23ba771af.exe,961894,5.69,4.053,2,0,1
ember_a89d7bd7713b.exe,335303,5.7,5.435,112,2,1
ember_7e220ea4fc04.exe,965324,5.67,4.053,2,0,1
ember_089dc7d82a07.exe,124420,8.2,6.47,19,0,1
ember_a2b14ff4115d.exe,318848,12.51,4.684,12,0,1
ember_b2a0d88c2cd8.exe,962734,5.69,4.053,2,0,1
ember_b22ce9a7ec3c.exe,435712,17.51,5.035,108,1,1
ember_ee4a9afa4fb3.exe,901120,5.54,4.865,69,1,1
ember_8eb9cb4057aa.exe,208896,30.46,4.792,14,0,1
ember_f44e29d4e09b.exe,200176,17.8,7.683,2,0,1
ember_cb3fa0843379.exe,630024,3.08,6.446,10,0,1
ember_b3eafdd26486.exe,965314,5.67,4.053,2,0,1
ember_cf3a4b854679.exe,567192,23.46,4.173,60,0,1
ember_387a48dc9e07.exe,965704,5.67,4.053,2,0,1
ember_93cf2ff2f474.exe,155648,18.89,6.131,104,0,1
ember_677f480be05c.exe,1284200,87.19,5.263,45,1,1
ember_3629b2b16c59.exe,321725,11.57,1.082,0,0,1
ember_321805e539f7.exe,200772,19.74,4.475,98,0,1
ember_3cefcda97c68.exe,97280,14.76,4.739,67,1,1
ember_f961899dc5f6.exe,2133376,1.63,5.304,213,1,1
ember_ddc8f3e501fd.exe,983040,0.81,4.746,24,1,1
ember_e1a330edf0a5.exe,1053696,10.92,5.709,81,1,1
ember_cc2aec16080c.exe,151552,21.92,5.212,41,0,1
ember_9104e5f06e7f.exe,295936,19.04,5.017,146,1,1
ember_5b2af21c3e17.exe,963774,5.68,4.053,2,0,1
ember_4397ae1d7929.exe,966644,5.66,4.053,2,0,1
ember_193ec488075e.exe,3584,74.33,3.273,8,0,1
ember_d1c0960c621e.exe,251904,5.09,4.396,43,1,1
ember_06e0d78da385.exe,3584,74.33,3.273,8,0,1
ember_a69000a82f8b.exe,888868,14.82,4.47,467,4,1
ember_6b894fe7ec6e.exe,972064,5.63,4.053,2,0,1
ember_81358e7801d6.exe,1935360,22.55,5.264,536,2,1
ember_d0cc5b199367.exe,4418432,1.03,4.596,120,2,1
ember_3bf5027f1925.exe,964554,5.67,4.053,2,0,1
ember_b3242efeb79f.exe,965404,5.67,4.053,2,0,1
ember_e4ebc5beaabd.exe,71995,50.81,4.948,6,0,1
ember_091fe97a63e1.exe,139264,20.26,5.557,54,0,1
ember_499c087e10d1.exe,2025472,20.29,4.267,586,2,1
ember_4eec0c7f9c9b.exe,964514,5.67,4.053,2,0,1
ember_10f18b985538.exe,99840,39.29,5.009,8,0,1
ember_d0e29696538a.exe,1641165,17.19,4.649,303,2,1
ember_4d078eb205da.exe,343606,6.08,5.037,61,0,1
ember_5ed4cb8f4c86.exe,2061938,57.36,7.902,0,0,1
ember_f922eb8ec070.exe,991232,19.3,5.732,75,1,1
ember_293235575c94.exe,291328,16.67,3.782,1,0,1
ember_216e939d5458.exe,983040,0.83,3.645,24,1,1
ember_e0506256b92d.exe,841199,10.83,5.676,78,1,1
ember_954fd93adbbf.exe,184320,22.38,4.677,142,0,1
ember_4d0e0d6f4d89.exe,890880,1.15,4.512,21,0,1
ember_6ae3ee956ade.exe,343527,6.04,5.037,61,0,1
ember_68b05e51c7e8.exe,1897984,50.62,5.44,82,1,1
ember_5632305f4989.exe,3584,74.33,3.274,8,0,1
ember_aaa9f438ca76.exe,426262,19.97,3.889,140,0,1
ember_2c0cae28baa8.exe,1541218,93.58,3.955,0,0,1
ember_89c66528a92c.exe,963304,5.68,4.053,2,0,1
ember_c0c06dd2bd7c.exe,343579,6.08,5.037,61,0,1
ember_de223b29b8a8.exe,494080,3.63,4.754,1,0,1
ember_9c7f91ccf45d.exe,967774,5.66,4.053,2,0,1
ember_3d496c0faf5b.exe,1467971,11.17,1.099,0,0,1
ember_20b0c908ad4a.exe,964834,5.67,4.053,2,0,1
ember_b1465bed6231.exe,492032,20.69,5.615,418,2,1
ember_c050892aee20.exe,36864,29.64,4.831,63,1,1
ember_4947e0f4d4f9.exe,163840,5.17,5.88,96,2,1
ember_9ac64002c53f.exe,2293248,72.71,4.292,69,1,1
ember_716ea0bd5391.exe,2061938,61.36,7.884,0,0,1
ember_4efa6cdf614b.exe,527040,12.61,5.808,183,2,1
ember_eb3a5e01466d.exe,963754,5.68,4.053,2,0,1
ember_686e7cf407c9.exe,964794,5.67,4.053,2,0,1
ember_c312d01498cc.exe,139264,20.26,5.557,54,0,1
ember_ec975c7f7e9d.exe,878592,20.62,5.738,153,1,1
ember_8f85473ee96a.exe,356352,19.65,5.408,230,1,1
ember_a97e8be27c93.exe,155648,18.89,6.131,104,0,1
ember_0469793f59cd.exe,3584,74.33,3.272,8,0,1
ember_7546085309de.exe,139264,19.32,6.0,21,0,1
ember_010a72babd65.exe,966814,5.66,4.053,2,0,1
ember_8f383ccfabdc.exe,965414,5.67,4.053,2,0,1
ember_ad9f9c754bd2.exe,965234,5.67,4.053,2,0,1
ember_3008ad847625.exe,198164,1.58,7.423,11,1,1
ember_b79f38b835e2.exe,131200,20.92,6.117,25,0,1
ember_ea5c4b217f18.exe,968744,5.65,4.053,2,0,1
ember_74e3f8c5bb96.exe,967244,5.66,4.053,2,0,1
ember_29e2c8db3d94.exe,114176,2.51,6.891,5,0,1
ember_5fdada380fd1.exe,970794,5.64,4.053,2,0,1
ember_4953e100528f.exe,245941,3.77,5.634,91,1,1
ember_5a5654f69964.exe,968934,5.65,4.053,2,0,1
ember_501cfdfc09c3.exe,276992,37.92,4.648,87,1,1
ember_c7c6fc846547.exe,246117,3.76,5.634,91,1,1
